Era 1
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.43
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -61.01
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.58
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.43
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -65.01
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.23
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.94
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.06
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -52.49
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.03
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.09
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -87.29
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -81.95
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -50.16
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.84
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.09
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.73
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -82.10
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -59.32
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -59.12
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -61.44
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.65
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.73
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -79.35
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -79.74
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -70.66
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.53
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -52.67
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.13
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -84.31
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.47
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.56
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.24
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.05
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.31
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.17
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.73
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.47
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.22
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.99
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.18
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.23
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.69
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -71.38
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -61.78
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -71.21
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.43
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.29
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -80.65
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.19
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.89
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.28
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -61.64
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.87
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -62.89
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -61.09
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -53.94
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -50.99
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.02
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.53
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.27
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -61.82
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.73
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -74.88
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -66.92
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -62.54
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.12
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -64.97
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -51.23
